state,flu_onset,flu_end,season,flu_peak,time_diff
Louisiana,2023-10-28,2023-12-30,23-24,2023-12-23,8
Maine,2023-12-09,2024-02-24,23-24,2023-12-30,3
Maryland,2023-10-14,2024-01-06,23-24,2023-12-30,11
Massachusetts,2023-09-16,2024-01-13,23-24,2023-12-30,15
Michigan,2023-10-07,2024-03-16,23-24,2023-12-30,12
Minnesota,2023-12-02,2024-03-02,23-24,2024-02-10,10
Mississippi,2023-10-14,2024-01-06,23-24,2023-12-30,11
Montana,2023-12-09,2024-01-20,23-24,2023-12-30,3
Nebraska,2023-09-23,2024-03-16,23-24,2023-12-30,14
Nevada,2023-10-28,2024-01-06,23-24,2023-12-23,8
New Jersey,2023-10-21,2024-01-13,23-24,2023-12-30,10
New Mexico,2023-09-16,2024-01-13,23-24,2023-12-30,15
New York,2023-10-14,2024-01-06,23-24,2023-12-30,11
North Carolina,2023-09-02,2023-12-30,23-24,2023-12-30,17
North Dakota,2023-12-09,2024-01-20,23-24,2023-12-30,3
Ohio,2023-10-07,2024-03-09,23-24,2024-02-24,20
Oklahoma,2023-11-04,2024-03-09,23-24,2024-02-03,13
Oregon,2023-11-25,2024-01-13,23-24,2023-12-30,5
Pennsylvania,2023-10-28,2024-01-06,23-24,2023-12-30,9
Rhode Island,2023-11-25,2024-03-09,23-24,2023-12-30,5
South Carolina,2023-09-23,2023-12-30,23-24,2023-12-23,13
South Dakota,2023-11-25,2024-01-06,23-24,2023-12-30,5
Tennessee,2023-10-21,2023-12-30,23-24,2023-12-30,10
Texas,2023-10-14,2024-01-06,23-24,2023-12-23,10
Utah,2023-10-28,2023-12-30,23-24,2023-12-30,9
Vermont,2023-12-09,2024-02-03,23-24,2024-01-13,5
Washington,2023-12-09,2024-01-20,23-24,2023-12-30,3
West Virginia,2023-12-02,2024-03-02,23-24,2024-01-20,7
Wisconsin,2023-11-11,2024-01-13,23-24,2023-12-30,7
Wyoming,2023-12-02,2023-12-30,23-24,2023-12-30,4
